card_serial|entrances
0423A54A216281|{'2020-01-25 14:33:23': 'San Fermo', '2020-01-25 15:54:34': 'Santa Anastasia', '2020-01-25 17:14:44': 'Torre Lamberti', '2020-01-26 11:53:01': 'Castelvecchio', '2020-01-26 15:02:29': 'San Zeno', '2020-01-27 11:08:47': 'Duomo'}
0423B8E2185081|{'2020-01-03 16:36:35': 'Arena', '2020-01-04 10:30:59': 'Tomba Giulietta', '2020-01-04 11:54:11': 'Castelvecchio', '2020-01-04 16:07:52': 'Teatro Romano', '2020-01-05 13:14:59': 'San Zeno'}
0423D4F2185081|{'2020-02-13 16:30:07': 'Arena', '2020-02-14 12:41:59': 'Castelvecchio', '2020-02-14 14:05:59': 'San Zeno', '2020-02-14 15:41:39': 'Santa Anastasia', '2020-02-14 16:08:55': 'Duomo'}
0423EAF2185081|{'2020-02-10 14:02:00': 'Arena', '2020-02-10 15:49:03': 'Casa Giulietta', '2020-02-10 16:19:23': 'Duomo', '2020-02-10 17:07:27': 'Santa Anastasia'}
042415E2185085|{'2020-01-02 16:24:16': 'Arena', '2020-01-03 10:01:14': 'Casa Giulietta', '2020-01-03 10:36:51': 'Torre Lamberti', '2020-01-03 11:56:28': 'Tomba Giulietta', '2020-01-03 15:43:41': 'Castelvecchio', '2020-01-04 10:10:11': 'Teatro Romano', '2020-01-04 12:37:53': 'Museo Lapidario'}
04242F121B6785|{'2020-02-21 12:38:29': 'Arena', '2020-02-21 15:15:37': 'Tomba Giulietta', '2020-02-21 16:56:39': 'Castelvecchio', '2020-02-22 11:14:06': 'Casa Giulietta', '2020-02-22 11:53:36': 'Palazzo della Ragione', '2020-02-22 12:38:44': 'Duomo', '2020-02-22 14:15:34': 'Teatro Romano', '2020-02-22 15:15:59': 'Giardino Giusti'}
04243AE2185081|{'2020-01-03 13:01:45': 'Arena', '2020-01-03 15:35:03': 'Casa Giulietta', '2020-01-03 16:31:56': 'Torre Lamberti', '2020-01-03 16:58:22': 'Palazzo della Ragione', '2020-01-04 11:52:23': 'Santa Anastasia', '2020-01-04 12:34:18': 'Duomo', '2020-01-04 15:26:34': 'Teatro Romano'}
042498F2185081|{'2020-02-02 10:25:56': 'Casa Giulietta', '2020-02-02 10:44:19': 'Arena', '2020-02-02 11:40:31': 'Castelvecchio', '2020-02-02 12:36:57': 'San Zeno', '2020-02-02 16:18:51': 'Teatro Romano'}
0424A54A216281|{'2020-01-25 14:33:21': 'San Fermo', '2020-01-25 15:54:33': 'Santa Anastasia', '2020-01-25 17:14:42': 'Torre Lamberti', '2020-01-26 11:52:59': 'Castelvecchio', '2020-01-26 15:02:32': 'San Zeno', '2020-01-27 11:08:59': 'Duomo'}
0424BDE2185081|{'2020-02-09 11:30:05': 'Arena', '2020-02-09 12:37:36': 'Casa Giulietta', '2020-02-09 15:11:39': 'Palazzo della Ragione', '2020-02-10 11:52:01': 'San Zeno'}
0424CBE2185081|{'2020-01-03 10:19:50': 'Arena', '2020-01-03 13:51:21': 'Santa Anastasia', '2020-01-03 14:22:37': 'Duomo', '2020-01-04 09:54:49': 'San Zeno', '2020-01-04 11:14:34': 'Torre Lamberti'}
0424D2E2185081|{'2020-01-01 14:04:40': 'Casa Giulietta', '2020-01-01 14:46:47': 'Castelvecchio', '2020-01-02 09:43:01': 'Museo Storia', '2020-01-02 10:38:39': 'San Fermo'}
0424E1E2185081|{'2020-01-03 10:19:52': 'Arena', '2020-01-03 13:51:23': 'Santa Anastasia', '2020-01-04 09:54:46': 'San Zeno', '2020-01-04 11:14:32': 'Torre Lamberti'}
042540F2185081|{'2020-02-17 15:04:08': 'Casa Giulietta', '2020-02-17 15:55:06': 'Duomo', '2020-02-17 17:12:07': 'Castelvecchio', '2020-02-17 18:08:49': 'Tomba Giulietta', '2020-02-18 10:03:50': 'Arena'}
0425A8F2185081|{'2020-02-09 11:06:29': 'Arena', '2020-02-09 11:51:33': 'Museo Lapidario', '2020-02-09 14:08:24': 'Teatro Romano', '2020-02-09 16:50:55': 'Castelvecchio'}
0425A9F2185081|{'2020-02-09 09:50:37': 'Arena', '2020-02-09 11:01:06': 'Museo Lapidario', '2020-02-09 11:36:28': 'Castelvecchio', '2020-02-09 13:57:26': 'Casa Giulietta', '2020-02-09 14:22:33': 'Santa Anastasia', '2020-02-09 14:58:24': 'Teatro Romano'}
0425C2F2185081|{'2020-02-08 17:06:00': 'Castelvecchio', '2020-02-09 09:59:51': 'Arena', '2020-02-09 11:20:58': 'Casa Giulietta'}
0425C8F2185081|{'2020-02-09 11:06:27': 'Arena', '2020-02-09 11:51:35': 'Museo Lapidario', '2020-02-09 14:08:22': 'Teatro Romano', '2020-02-09 16:50:57': 'Castelvecchio'}
0425EFF2185081|{'2020-02-09 10:27:23': 'Arena', '2020-02-09 15:11:39': 'Castelvecchio'}
04260BF2185085|{'2020-02-16 11:37:41': 'Arena', '2020-02-16 12:42:29': 'Palazzo della Ragione', '2020-02-16 14:20:18': 'Casa Giulietta'}
042612121B6785|{'2020-01-11 12:24:12': 'Arena', '2020-01-11 14:27:48': 'Torre Lamberti', '2020-01-11 14:50:29': 'Palazzo della Ragione', '2020-01-12 12:28:22': 'Castelvecchio', '2020-01-12 14:40:33': 'Tomba Giulietta'}
042633E2185085|{'2020-01-02 14:55:51': 'Tomba Giulietta', '2020-01-02 16:23:13': 'Torre Lamberti', '2020-01-03 10:53:25': 'Arena', '2020-01-03 11:53:40': 'Casa Giulietta', '2020-01-03 14:50:58': 'Duomo', '2020-01-03 16:26:29': 'Teatro Romano', '2020-01-04 10:16:24': 'Castelvecchio', '2020-01-04 12:23:08': 'San Zeno'}
042638121B6785|{'2020-02-06 14:40:07': 'Casa Giulietta', '2020-02-07 14:16:13': 'Palazzo della Ragione', '2020-02-07 15:51:56': 'Teatro Romano'}
042641F2185081|{'2020-02-09 12:48:21': 'Arena', '2020-02-09 15:16:54': 'Duomo', '2020-02-09 16:07:44': 'Castelvecchio', '2020-02-09 16:08:20': 'Castelvecchio'}
042648E2185081|{'2020-01-03 13:01:41': 'Arena', '2020-01-03 15:35:01': 'Casa Giulietta', '2020-01-03 16:31:50': 'Torre Lamberti', '2020-01-03 16:58:20': 'Palazzo della Ragione', '2020-01-04 11:52:21': 'Santa Anastasia', '2020-01-04 12:34:20': 'Duomo', '2020-01-04 15:26:32': 'Teatro Romano'}
042649F2185081|{'2020-02-16 12:35:11': 'Palazzo della Ragione', '2020-02-16 13:34:33': 'Casa Giulietta', '2020-02-16 15:30:24': 'Arena', '2020-02-16 16:40:16': 'Duomo', '2020-02-16 16:57:27': 'Santa Anastasia'}
042651F2185081|{'2020-02-11 12:41:35': 'Arena', '2020-02-11 16:30:23': 'Santa Anastasia', '2020-02-11 17:03:16': 'Casa Giulietta', '2020-02-12 09:46:02': 'Castelvecchio'}
04265BF2185081|{'2020-02-08 17:05:56': 'Castelvecchio', '2020-02-09 09:59:42': 'Arena', '2020-02-09 11:20:56': 'Casa Giulietta'}
042673E2185081|{'2020-01-03 13:48:37': 'Arena', '2020-01-03 15:18:58': 'Torre Lamberti', '2020-01-04 12:45:48': 'Casa Giulietta', '2020-01-04 16:47:08': 'Castelvecchio'}
04267AF2185081|{'2020-01-12 11:33:56': 'Castelvecchio', '2020-01-12 12:33:28': 'Arena', '2020-01-12 13:29:41': 'Torre Lamberti', '2020-01-12 13:53:56': 'Santa Anastasia', '2020-01-12 14:19:02': 'Teatro Romano', '2020-01-12 15:16:37': 'Duomo'}
042687E2185081|{'2020-01-03 13:01:48': 'Arena', '2020-01-03 15:35:42': 'Casa Giulietta', '2020-01-03 16:31:53': 'Torre Lamberti', '2020-01-03 16:59:26': 'Palazzo della Ragione', '2020-01-04 11:51:57': 'Santa Anastasia', '2020-01-04 12:34:11': 'Duomo', '2020-01-04 15:27:35': 'Teatro Romano'}
0426A2121B6781|{'2020-08-17 11:56:19': 'Torre Lamberti'}
0426ABE2185081|{'2020-01-03 12:00:37': 'Arena', '2020-01-03 12:42:58': 'Castelvecchio', '2020-01-03 15:39:07': 'Santa Anastasia', '2020-01-03 16:33:10': 'Duomo', '2020-01-04 11:26:18': 'San Zeno', '2020-01-04 13:28:29': 'Palazzo della Ragione', '2020-01-04 14:13:44': 'Torre Lamberti', '2020-01-04 16:05:39': 'Casa Giulietta', '2020-01-04 16:57:27': 'Teatro Romano'}
0426B54A216281|{'2020-01-01 14:58:54': 'Torre Lamberti'}
04270DE2185085|{'2020-02-22 16:27:53': 'Castelvecchio', '2020-02-23 15:27:01': 'Giardino Giusti'}
042712121B6785|{'2020-01-11 11:15:22': 'Arena', '2020-01-11 12:29:46': 'Castelvecchio', '2020-01-11 15:35:03': 'Casa Giulietta', '2020-01-12 12:35:28': 'Teatro Romano', '2020-01-12 17:05:17': 'San Fermo'}
042721F2185081|{'2020-02-09 11:42:11': 'Arena', '2020-02-09 12:13:03': 'Museo Lapidario', '2020-02-09 14:11:10': 'Casa Giulietta'}
042726F2185081|{'2020-02-11 11:20:23': 'Arena', '2020-02-11 12:30:46': 'Casa Giulietta', '2020-02-11 13:44:02': 'San Fermo', '2020-02-11 15:25:20': 'Santa Anastasia', '2020-02-11 15:53:12': 'Duomo', '2020-02-11 17:00:36': 'Teatro Romano', '2020-02-11 18:03:45': 'Castelvecchio', '2020-02-12 11:02:05': 'San Zeno'}
04272C121B6785|{'2020-02-19 12:33:42': 'Arena', '2020-02-19 14:32:36': 'Casa Giulietta', '2020-02-19 15:34:11': 'Castelvecchio'}
042741F2185085|{'2020-02-08 11:16:08': 'Arena', '2020-02-08 12:12:15': 'Palazzo della Ragione', '2020-02-08 12:30:25': 'Casa Giulietta', '2020-02-08 14:44:02': 'Tomba Giulietta', '2020-02-08 15:49:00': 'Museo Storia', '2020-02-09 10:58:35': 'Castelvecchio'}
042758E2185081|{'2020-01-03 12:28:00': 'Castelvecchio', '2020-01-03 15:27:21': 'Arena', '2020-01-03 16:01:18': 'Casa Giulietta', '2020-01-03 16:40:34': 'Torre Lamberti', '2020-01-03 17:05:40': 'Palazzo della Ragione', '2020-01-04 11:59:12': 'Teatro Romano', '2020-01-04 13:18:11': 'Duomo', '2020-01-04 15:53:50': 'Museo Storia'}
04276BE2185081|{'2020-02-21 11:51:49': 'Casa Giulietta', '2020-02-21 12:25:24': 'San Fermo', '2020-02-21 13:02:47': 'Arena', '2020-02-21 18:05:18': 'Teatro Romano', '2020-02-22 11:01:44': 'Castelvecchio', '2020-02-22 17:50:46': 'Palazzo della Ragione'}
042777E2185081|{'2020-02-23 09:40:21': 'Casa Giulietta', '2020-02-23 10:22:36': 'Arena', '2020-02-23 15:07:22': 'San Fermo', '2020-02-23 15:31:30': 'Museo Storia', '2020-02-23 16:45:23': 'Palazzo della Ragione'}
04277FE2185081|{'2020-02-23 09:40:24': 'Casa Giulietta', '2020-02-23 10:22:40': 'Arena', '2020-02-23 15:07:19': 'San Fermo', '2020-02-23 15:31:26': 'Museo Storia', '2020-02-23 16:45:26': 'Palazzo della Ragione'}
0427A84A216281|{'2020-01-03 15:23:54': 'Castelvecchio', '2020-01-03 16:56:00': 'San Zeno', '2020-01-04 11:22:10': 'Torre Lamberti', '2020-01-04 11:52:08': 'Casa Giulietta', '2020-01-04 12:29:43': 'Arena', '2020-01-04 14:29:46': 'Tomba Giulietta', '2020-01-04 15:18:35': 'Museo Storia', '2020-01-04 16:28:28': 'San Fermo'}
0427F4E2185081|{'2020-01-17 14:38:14': 'Casa Giulietta', '2020-01-17 15:46:31': 'Duomo', '2020-01-17 16:14:53': 'Santa Anastasia'}
042806E2185085|{'2020-01-03 14:00:00': 'Arena', '2020-01-03 14:34:15': 'Castelvecchio', '2020-01-04 08:58:46': 'San Zeno', '2020-01-04 10:23:29': 'Santa Anastasia', '2020-01-04 11:03:44': 'Duomo', '2020-01-04 13:03:23': 'San Fermo', '2020-01-04 16:08:44': 'Tomba Giulietta'}
04280BE2185085|{'2020-01-13 14:41:57': 'Arena', '2020-01-13 15:22:19': 'Castelvecchio', '2020-01-13 17:09:07': 'Teatro Romano', '2020-01-15 08:54:08': 'Casa Giulietta', '2020-01-15 09:39:00': 'Santa Anastasia', '2020-01-15 10:11:03': 'Duomo', '2020-01-15 11:57:13': 'San Fermo'}
042810E2185085|{'2020-01-04 16:50:42': 'Castelvecchio', '2020-01-05 10:58:15': 'Arena', '2020-01-05 12:20:52': 'Museo Lapidario', '2020-01-05 15:17:28': 'Casa Giulietta', '2020-01-05 16:51:40': 'Palazzo della Ragione', '2020-01-05 18:02:29': 'Tomba Giulietta', '2020-01-06 11:20:50': 'Teatro Romano'}
042818121B6785|{'2020-01-24 14:30:52': 'Arena', '2020-01-24 15:39:39': 'Casa Giulietta', '2020-01-24 18:11:53': 'Castelvecchio', '2020-01-25 12:24:50': 'Teatro Romano', '2020-01-25 13:18:30': 'Duomo', '2020-01-25 15:30:37': 'Tomba Giulietta'}
042818E2185085|{'2020-01-03 14:13:29': 'Santa Anastasia', '2020-01-03 15:15:03': 'Duomo', '2020-01-04 10:03:40': 'Arena', '2020-01-04 11:31:57': 'San Zeno', '2020-01-04 14:19:18': 'Castelvecchio', '2020-01-04 17:35:23': 'Teatro Romano', '2020-01-05 12:08:21': 'Museo Lapidario', '2020-01-05 13:02:40': 'San Fermo'}
042819121B6785|{'2020-02-06 16:18:24': 'Duomo', '2020-02-06 17:42:49': 'Arena', '2020-02-07 10:08:10': 'Museo Lapidario', '2020-02-07 13:27:00': 'Teatro Romano', '2020-02-07 16:42:18': 'Castelvecchio', '2020-02-08 10:32:48': 'San Fermo', '2020-02-08 11:18:54': 'Casa Giulietta', '2020-02-08 11:42:06': 'Palazzo della Ragione', '2020-02-08 12:38:05': 'Santa Anastasia'}
04281DE2185081|{'2020-02-16 16:27:30': 'San Fermo', '2020-02-16 17:31:00': 'Casa Giulietta', '2020-02-17 10:35:38': 'Duomo', '2020-02-17 13:30:44': 'Arena', '2020-02-17 15:09:35': 'Tomba Giulietta', '2020-02-18 10:21:34': 'Castelvecchio', '2020-02-18 14:53:37': 'Palazzo della Ragione'}
042829F2185081|{'2020-02-08 11:35:36': 'Arena', '2020-02-08 14:35:50': 'Santa Anastasia'}
04282C121B6785|{'2020-02-20 09:45:06': 'Arena', '2020-02-20 12:00:57': 'Teatro Romano', '2020-02-20 14:05:57': 'Duomo', '2020-02-20 16:14:11': 'Santa Anastasia', '2020-02-21 08:52:27': 'Casa Giulietta', '2020-02-21 09:58:47': 'Castelvecchio', '2020-02-21 12:23:07': 'San Zeno', '2020-02-21 13:43:54': 'Tomba Giulietta', '2020-02-21 15:23:29': 'San Fermo'}
04282EE2185081|{'2020-02-15 14:13:36': 'Casa Giulietta', '2020-02-15 14:48:54': 'Palazzo della Ragione', '2020-02-15 15:25:01': 'Santa Anastasia', '2020-02-15 16:33:52': 'Teatro Romano', '2020-02-16 10:54:37': 'Arena', '2020-02-16 11:42:23': 'Castelvecchio', '2020-02-16 14:22:06': 'Duomo'}
04283EE2185081|{'2020-02-05 14:10:18': 'Palazzo della Ragione', '2020-02-05 15:13:58': 'San Fermo', '2020-02-05 16:06:00': 'Arena', '2020-02-06 15:32:24': 'Giardino Giusti', '2020-02-06 16:18:29': 'Teatro Romano', '2020-02-07 10:40:20': 'Casa Giulietta', '2020-02-07 13:34:48': 'San Zeno'}
042898E2185081|{'2020-01-03 12:27:55': 'Castelvecchio', '2020-01-03 15:27:20': 'Arena', '2020-01-03 16:01:14': 'Casa Giulietta', '2020-01-03 16:40:36': 'Torre Lamberti', '2020-01-03 17:05:39': 'Palazzo della Ragione', '2020-01-04 11:59:09': 'Teatro Romano', '2020-01-04 13:18:09': 'Duomo', '2020-01-04 15:53:53': 'Museo Storia'}
04289DE2185081|{'2020-01-03 12:27:59': 'Castelvecchio', '2020-01-03 15:27:24': 'Arena', '2020-01-03 16:01:11': 'Casa Giulietta', '2020-01-03 16:40:38': 'Torre Lamberti', '2020-01-03 17:05:36': 'Palazzo della Ragione', '2020-01-04 11:59:07': 'Teatro Romano', '2020-01-04 13:18:07': 'Duomo', '2020-01-04 15:53:55': 'Museo Storia'}
0428A64A216281|{'2020-01-30 10:33:20': 'Arena', '2020-01-30 11:52:49': 'Casa Giulietta', '2020-01-30 13:54:49': 'Tomba Giulietta', '2020-01-31 11:49:32': 'Museo Lapidario', '2020-01-31 12:13:39': 'Castelvecchio', '2020-01-31 14:44:04': 'Duomo', '2020-01-31 15:23:01': 'Teatro Romano'}
0428A84A216281|{'2020-01-03 12:08:14': 'Arena', '2020-01-03 14:02:33': 'Casa Giulietta', '2020-01-04 10:11:13': 'Casa Giulietta'}
0428ACF2185081|{'2020-02-07 10:15:36': 'Casa Giulietta', '2020-02-07 10:44:50': 'Arena', '2020-02-07 12:04:20': 'Castelvecchio'}
0428C7E2185081|{'2020-01-02 14:25:21': 'Arena', '2020-01-02 15:15:12': 'Castelvecchio', '2020-01-02 16:08:06': 'San Zeno', '2020-01-02 17:41:47': 'Santa Anastasia', '2020-01-03 12:52:22': 'Museo Lapidario', '2020-01-03 13:48:09': 'Torre Lamberti'}
0428E4E2185081|{'2020-01-04 12:08:15': 'Arena', '2020-01-04 13:49:58': 'Torre Lamberti', '2020-01-04 14:50:49': 'Casa Giulietta', '2020-01-05 14:16:37': 'Teatro Romano'}
0428E8E2185081|{'2020-01-04 12:03:15': 'Arena', '2020-01-04 13:03:47': 'Castelvecchio', '2020-01-04 14:43:50': 'San Zeno', '2020-01-05 10:03:50': 'Teatro Romano', '2020-01-05 14:38:21': 'Palazzo della Ragione'}
0428FEF2185081|{'2020-02-15 13:13:35': 'Arena', '2020-02-15 15:57:35': 'Casa Giulietta', '2020-02-15 17:36:12': 'Tomba Giulietta'}
042915E2185085|{'2020-02-18 08:39:46': 'Arena', '2020-02-18 09:37:41': 'Museo Lapidario', '2020-02-18 11:26:26': 'Teatro Romano', '2020-02-18 15:16:29': 'San Zeno', '2020-02-18 17:11:23': 'Santa Anastasia', '2020-02-19 09:06:23': 'Casa Giulietta', '2020-02-19 11:10:41': 'Castelvecchio', '2020-02-19 15:45:19': 'Giardino Giusti'}
042918121B6785|{'2020-01-24 14:30:54': 'Arena', '2020-01-24 15:39:37': 'Casa Giulietta', '2020-01-24 18:11:55': 'Castelvecchio', '2020-01-25 12:24:52': 'Teatro Romano', '2020-01-25 13:18:35': 'Duomo', '2020-01-25 15:30:42': 'Tomba Giulietta'}
042919121B6785|{'2020-02-06 16:18:18': 'Duomo', '2020-02-06 17:42:50': 'Arena', '2020-02-07 10:08:07': 'Museo Lapidario', '2020-02-07 13:27:04': 'Teatro Romano', '2020-02-07 16:42:17': 'Castelvecchio', '2020-02-08 10:32:46': 'San Fermo', '2020-02-08 11:18:56': 'Casa Giulietta', '2020-02-08 11:42:05': 'Palazzo della Ragione', '2020-02-08 12:38:09': 'Santa Anastasia'}
042922E2185085|{'2020-01-01 13:37:53': 'Castelvecchio'}
042927F2185085|{'2020-02-15 12:43:34': 'Arena', '2020-02-15 13:34:05': 'Casa Giulietta', '2020-02-15 15:05:39': 'Castelvecchio'}
04292AE2185081|{'2020-01-11 13:40:42': 'Arena', '2020-01-11 15:43:06': 'Casa Giulietta', '2020-01-12 11:34:41': 'Teatro Romano'}
04292EE2185081|{'2020-01-04 12:15:31': 'Torre Lamberti', '2020-01-04 12:31:43': 'Palazzo della Ragione', '2020-01-04 14:33:49': 'Arena', '2020-01-04 15:11:04': 'Castelvecchio', '2020-01-05 08:35:19': 'Casa Giulietta', '2020-01-05 11:09:20': 'Teatro Romano'}
042932E2185081|{'2020-01-04 12:15:32': 'Torre Lamberti', '2020-01-04 12:31:45': 'Palazzo della Ragione', '2020-01-04 14:33:47': 'Arena', '2020-01-04 15:11:05': 'Castelvecchio', '2020-01-05 08:35:20': 'Casa Giulietta', '2020-01-05 11:09:17': 'Teatro Romano'}
04293EE2185085|{'2020-01-01 13:30:23': 'Torre Lamberti', '2020-01-01 14:23:21': 'Casa Giulietta', '2020-01-01 15:10:30': 'Arena', '2020-01-01 16:33:47': 'Castelvecchio'}
042940F2185085|{'2020-02-15 12:43:43': 'Arena', '2020-02-15 13:41:39': 'Casa Giulietta', '2020-02-15 14:12:11': 'San Fermo', '2020-02-15 14:59:59': 'Santa Anastasia', '2020-02-15 15:37:49': 'Duomo', '2020-02-15 17:27:15': 'Castelvecchio', '2020-02-16 10:37:58': 'Giardino Giusti', '2020-02-16 11:31:52': 'Teatro Romano'}
042953E2185081|{'2020-01-11 13:40:43': 'Arena', '2020-01-11 15:43:04': 'Casa Giulietta', '2020-01-12 11:34:43': 'Teatro Romano'}
042957E2185081|{'2020-01-02 15:38:54': 'Arena', '2020-01-02 16:37:42': 'Castelvecchio', '2020-01-03 10:58:23': 'Casa Giulietta', '2020-01-03 11:35:37': 'Torre Lamberti', '2020-01-03 11:52:29': 'Palazzo della Ragione', '2020-01-03 12:37:47': 'Santa Anastasia', '2020-01-03 12:53:10': 'Duomo', '2020-01-03 16:03:35': 'Teatro Romano'}
04295BE2185081|{'2020-01-05 14:38:54': 'Arena', '2020-01-05 16:00:10': 'Castelvecchio', '2020-01-06 10:24:58': 'Casa Giulietta', '2020-01-06 11:18:18': 'Torre Lamberti', '2020-01-06 11:36:00': 'Palazzo della Ragione', '2020-01-06 13:59:19': 'San Zeno', '2020-01-06 16:02:38': 'Tomba Giulietta'}
042967E2185081|{'2020-01-12 11:34:25': 'Castelvecchio', '2020-01-12 15:39:01': 'Casa Giulietta', '2020-01-12 16:24:36': 'Palazzo della Ragione', '2020-01-12 16:59:36': 'Torre Lamberti', '2020-01-13 15:22:51': 'Arena'}
042973E2185081|{'2020-01-12 11:34:23': 'Castelvecchio', '2020-01-12 15:39:03': 'Casa Giulietta', '2020-01-12 16:24:34': 'Palazzo della Ragione', '2020-01-12 16:59:33': 'Torre Lamberti', '2020-01-13 15:22:52': 'Arena'}
042978E2185081|{'2020-01-04 12:19:45': 'San Fermo', '2020-01-04 13:06:50': 'Santa Anastasia', '2020-01-04 13:28:58': 'Duomo', '2020-01-04 14:57:15': 'Castelvecchio', '2020-01-04 16:03:09': 'San Zeno', '2020-01-04 17:14:42': 'Arena', '2020-01-04 18:14:11': 'Torre Lamberti', '2020-01-05 09:04:02': 'Casa Giulietta', '2020-01-05 10:54:29': 'Tomba Giulietta', '2020-01-05 13:12:03': 'Giardino Giusti'}
04297CE2185081|{'2020-01-03 10:48:19': 'Arena', '2020-01-03 12:30:22': 'Torre Lamberti', '2020-01-03 12:56:28': 'Palazzo della Ragione', '2020-01-03 14:03:08': 'Casa Giulietta', '2020-01-03 16:24:31': 'San Zeno', '2020-01-04 13:18:26': 'Duomo'}
042980E2185081|{'2020-01-03 10:08:27': 'Casa Giulietta', '2020-01-03 10:31:34': 'Arena', '2020-01-03 11:20:09': 'Torre Lamberti', '2020-01-03 11:41:30': 'Palazzo della Ragione', '2020-01-03 12:29:43': 'San Fermo', '2020-01-03 15:39:31': 'Santa Anastasia', '2020-01-03 16:17:44': 'Duomo', '2020-01-04 11:11:08': 'Teatro Romano', '2020-01-04 12:51:04': 'San Zeno', '2020-01-04 14:26:14': 'Castelvecchio', '2020-01-04 15:20:12': 'Tomba Giulietta'}
042989F2185081|{'2020-02-16 15:30:35': 'Arena', '2020-02-16 16:32:28': 'Casa Giulietta', '2020-02-16 17:26:56': 'Santa Anastasia', '2020-02-16 18:18:59': 'Teatro Romano', '2020-02-17 13:13:31': 'Giardino Giusti', '2020-02-17 14:35:14': 'Castelvecchio'}
042996E2185081|{'2020-01-04 11:18:58': 'Arena', '2020-01-04 13:38:31': 'Torre Lamberti', '2020-01-05 09:52:33': 'Teatro Romano', '2020-01-05 13:05:09': 'Castelvecchio', '2020-01-05 15:57:50': 'San Zeno'}
04299EE2185081|{'2020-01-04 12:19:42': 'San Fermo', '2020-01-04 13:06:49': 'Santa Anastasia', '2020-01-04 13:28:55': 'Duomo', '2020-01-04 14:57:14': 'Castelvecchio', '2020-01-04 16:03:07': 'San Zeno', '2020-01-04 17:14:40': 'Arena', '2020-01-04 18:14:13': 'Torre Lamberti', '2020-01-05 09:04:00': 'Casa Giulietta', '2020-01-05 10:54:22': 'Tomba Giulietta', '2020-01-05 13:12:05': 'Giardino Giusti'}
0429A64A216281|{'2020-01-30 09:16:06': 'Arena', '2020-01-30 10:41:37': 'Palazzo della Ragione', '2020-01-30 12:12:34': 'Santa Anastasia', '2020-01-30 13:49:18': 'Duomo', '2020-01-30 16:38:50': 'Castelvecchio', '2020-01-31 10:29:48': 'Teatro Romano', '2020-01-31 12:02:35': 'Giardino Giusti', '2020-01-31 14:32:32': 'San Fermo', '2020-01-31 16:37:03': 'San Zeno'}
0429BAE2185081|{'2020-02-18 08:42:06': 'Arena', '2020-02-18 09:38:37': 'Museo Lapidario', '2020-02-18 11:24:07': 'Teatro Romano', '2020-02-18 15:17:00': 'San Zeno', '2020-02-18 17:13:14': 'Santa Anastasia', '2020-02-19 09:08:47': 'Casa Giulietta', '2020-02-19 11:09:54': 'Castelvecchio', '2020-02-19 16:09:09': 'Giardino Giusti'}
0429CDE2185081|{'2020-02-18 08:42:27': 'Arena', '2020-02-18 09:38:15': 'Museo Lapidario', '2020-02-18 11:29:44': 'Teatro Romano', '2020-02-18 15:16:22': 'San Zeno', '2020-02-18 17:11:16': 'Santa Anastasia', '2020-02-19 09:06:56': 'Casa Giulietta', '2020-02-19 11:10:02': 'Castelvecchio', '2020-02-19 16:06:25': 'Giardino Giusti'}
042A13121B6785|{'2020-01-16 15:29:21': 'Torre Lamberti', '2020-01-16 15:46:38': 'Palazzo della Ragione', '2020-01-16 16:09:21': 'Santa Anastasia', '2020-01-16 16:47:54': 'Casa Giulietta', '2020-01-17 12:42:45': 'Castelvecchio', '2020-01-17 14:43:44': 'San Zeno', '2020-01-17 15:47:59': 'Arena'}
042A17121B6785|{'2020-01-12 10:33:31': 'Casa Giulietta', '2020-01-12 11:17:23': 'Torre Lamberti', '2020-01-12 11:37:54': 'Palazzo della Ragione', '2020-01-12 12:49:11': 'Teatro Romano', '2020-01-12 13:34:50': 'Duomo', '2020-01-12 15:35:00': 'Arena', '2020-01-12 16:24:07': 'Castelvecchio', '2020-01-13 16:28:57': 'San Fermo', '2020-01-13 17:13:12': 'Tomba Giulietta'}
042A2DE2185081|{'2020-01-03 10:08:29': 'Casa Giulietta', '2020-01-03 10:31:36': 'Arena', '2020-01-03 11:20:11': 'Torre Lamberti', '2020-01-03 11:41:28': 'Palazzo della Ragione', '2020-01-03 12:29:41': 'San Fermo', '2020-01-03 15:39:29': 'Santa Anastasia', '2020-01-03 16:17:42': 'Duomo', '2020-01-04 11:11:10': 'Teatro Romano', '2020-01-04 12:51:06': 'San Zeno', '2020-01-04 14:26:15': 'Castelvecchio', '2020-01-04 15:20:10': 'Tomba Giulietta'}
042A31E2185081|{'2020-02-08 14:53:17': 'Tomba Giulietta', '2020-02-08 15:52:14': 'San Fermo', '2020-02-08 17:38:58': 'San Zeno', '2020-02-08 18:23:50': 'Arena', '2020-02-09 12:25:25': 'Teatro Romano', '2020-02-09 14:55:19': 'Casa Giulietta', '2020-02-09 17:29:28': 'Castelvecchio'}
042A41E2185085|{'2020-02-08 14:52:48': 'Tomba Giulietta', '2020-02-08 15:52:33': 'San Fermo', '2020-02-08 17:39:33': 'San Zeno', '2020-02-08 18:23:48': 'Arena', '2020-02-09 11:40:10': 'Teatro Romano', '2020-02-09 14:55:31': 'Casa Giulietta', '2020-02-09 16:18:30': 'Duomo', '2020-02-09 17:29:06': 'Castelvecchio'}
