card_serial|entrances
0400B8F2185081|{'2020-01-11 10:22:35': 'San Zeno', '2020-01-11 11:22:01': 'Castelvecchio', '2020-01-11 12:51:55': 'Arena', '2020-01-11 13:22:31': 'Casa Giulietta', '2020-01-11 14:27:27': 'Santa Anastasia'}
0400BAF2185081|{'2020-01-11 10:22:43': 'San Zeno', '2020-01-11 11:22:11': 'Castelvecchio', '2020-01-11 12:51:47': 'Arena', '2020-01-11 13:22:29': 'Casa Giulietta', '2020-01-11 14:27:20': 'Santa Anastasia'}
0400BFF2185081|{'2020-01-11 10:22:41': 'San Zeno', '2020-01-11 11:22:08': 'Castelvecchio', '2020-01-11 12:51:49': 'Arena', '2020-01-11 14:27:18': 'Santa Anastasia'}
0400C0F2185081|{'2020-01-26 10:31:54': 'Arena', '2020-01-26 11:27:53': 'Casa Giulietta', '2020-01-26 12:03:52': 'Torre Lamberti', '2020-01-26 12:23:11': 'Palazzo della Ragione', '2020-01-26 14:50:35': 'Santa Anastasia', '2020-01-26 16:48:54': 'Castelvecchio'}
0400E8F2185081|{'2020-01-12 14:43:27': 'San Zeno', '2020-01-12 16:14:29': 'Torre Lamberti', '2020-01-12 16:40:28': 'Casa Giulietta', '2020-01-12 17:44:13': 'Arena'}
0400EDF2185081|{'2020-01-28 10:47:45': 'Arena', '2020-01-28 12:46:00': 'Casa Giulietta', '2020-01-28 13:28:48': 'Santa Anastasia', '2020-01-28 13:52:29': 'Duomo'}
040100E2185085|{'2020-01-08 13:32:26': 'Arena', '2020-01-08 14:03:46': 'Casa Giulietta', '2020-01-08 14:32:21': 'Palazzo della Ragione', '2020-01-08 14:54:56': 'Torre Lamberti', '2020-01-08 16:07:58': 'Teatro Romano', '2020-01-10 11:41:56': 'Duomo'}
040103F2185085|{'2020-01-27 14:05:09': 'Arena', '2020-01-27 14:51:15': 'Casa Giulietta'}
040104F2185085|{'2020-02-06 10:03:50': 'Santa Anastasia', '2020-02-06 10:44:57': 'Duomo', '2020-02-06 11:25:44': 'Teatro Romano', '2020-02-06 14:04:17': 'Arena', '2020-02-06 14:49:21': 'Castelvecchio', '2020-02-06 16:19:55': 'Tomba Giulietta'}
04010CF2185081|{'2020-01-26 12:03:11': 'Torre Lamberti', '2020-01-26 14:50:07': 'Duomo', '2020-01-26 16:49:04': 'Teatro Romano', '2020-01-26 18:01:27': 'Casa Giulietta', '2020-01-26 18:23:54': 'Arena'}
040110E2185085|{'2020-01-09 14:25:48': 'Arena', '2020-01-09 15:42:09': 'Casa Giulietta', '2020-01-10 16:21:17': 'Teatro Romano'}
040111F2185085|{'2020-01-06 14:15:34': 'Castelvecchio', '2020-01-06 16:14:56': 'Casa Giulietta', '2020-01-06 16:46:19': 'Arena'}
040112F2185085|{'2020-01-22 11:04:31': 'Arena', '2020-01-22 12:05:03': 'Casa Giulietta', '2020-01-22 13:36:30': 'Santa Anastasia', '2020-01-22 15:01:47': 'Duomo'}
040114E2185085|{'2020-01-09 10:57:59': 'Arena', '2020-01-09 12:19:08': 'Teatro Romano', '2020-01-09 13:12:18': 'Duomo', '2020-01-09 13:36:31': 'Santa Anastasia', '2020-01-09 14:49:14': 'Palazzo della Ragione', '2020-01-09 15:32:16': 'Casa Giulietta', '2020-01-09 15:44:07': 'San Fermo', '2020-01-09 16:03:06': 'Museo Storia', '2020-01-09 17:05:16': 'Tomba Giulietta', '2020-01-10 12:00:13': 'Museo Lapidario', '2020-01-10 12:30:03': 'Castelvecchio', '2020-01-10 13:39:02': 'San Zeno'}
040115F2185081|{'2020-01-01 15:31:44': 'Arena'}
040117121B6785|{'2020-07-07 11:44:37': 'Arena', '2020-07-07 15:16:36': 'Palazzo della Ragione', '2020-07-07 15:50:48': 'Torre Lamberti', '2020-07-08 11:04:31': 'Castelvecchio'}
040118121B6785|{'2020-01-24 10:47:14': 'Arena', '2020-01-24 11:44:10': 'Museo Lapidario', '2020-01-24 13:44:10': 'Castelvecchio', '2020-01-24 16:11:57': 'Casa Giulietta', '2020-01-25 11:27:07': 'Torre Lamberti', '2020-01-25 11:44:21': 'Palazzo della Ragione', '2020-01-25 13:38:49': 'Santa Anastasia', '2020-01-25 16:02:19': 'Duomo'}
040119F2185085|{'2020-07-04 11:03:09': 'Arena', '2020-07-04 14:11:12': 'Torre Lamberti'}
04011BE2185085|{'2020-01-03 15:03:23': 'San Zeno', '2020-01-04 10:56:56': 'Castelvecchio', '2020-01-04 12:14:44': 'Casa Giulietta', '2020-01-04 12:50:23': 'Santa Anastasia', '2020-01-04 13:35:06': 'Duomo'}
04011BF2185085|{'2020-01-28 10:47:47': 'Arena', '2020-01-28 12:40:52': 'Casa Giulietta', '2020-01-28 13:28:56': 'Santa Anastasia', '2020-01-28 13:52:19': 'Duomo'}
04011EF2185081|{'2020-01-30 11:56:51': 'Arena', '2020-01-30 13:07:34': 'Palazzo della Ragione', '2020-01-30 13:38:37': 'Casa Giulietta', '2020-01-30 14:02:17': 'Santa Anastasia', '2020-01-30 14:42:09': 'Teatro Romano', '2020-01-30 16:54:23': 'Castelvecchio'}
040128F2185081|{'2020-02-22 12:33:23': 'Santa Anastasia', '2020-02-22 14:19:39': 'Duomo', '2020-02-22 14:52:17': 'Teatro Romano', '2020-02-22 15:49:08': 'Casa Giulietta', '2020-02-22 16:08:29': 'Palazzo della Ragione', '2020-02-22 17:04:59': 'Arena', '2020-02-23 10:15:31': 'Castelvecchio', '2020-02-23 11:57:43': 'Giardino Giusti'}
04012DE2185085|{'2020-02-03 15:25:34': 'Arena', '2020-02-03 18:11:10': 'Castelvecchio', '2020-02-04 10:35:02': 'Casa Giulietta', '2020-02-04 11:03:26': 'Palazzo della Ragione', '2020-02-04 11:53:11': 'Duomo', '2020-02-04 12:42:03': 'Teatro Romano', '2020-02-04 15:45:47': 'San Zeno'}
04012FE2185081|{'2020-01-02 12:15:25': 'Arena', '2020-01-02 15:56:19': 'Torre Lamberti', '2020-01-03 11:49:07': 'Casa Giulietta', '2020-01-03 12:40:58': 'Santa Anastasia', '2020-01-03 14:59:22': 'Castelvecchio'}
